Strategy,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
PA,,,Tierra_agropecuaria,,,,2061,,,,10.7122,10.7122,10.7122,10.7122,10.7122,10.7122,10.7122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2062,,,,10.7398,10.7398,10.7398,10.7398,10.7398,10.7398,10.7398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2063,,,,10.767,10.767,10.767,10.767,10.767,10.767,10.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2064,,,,10.7938,10.7938,10.7938,10.7938,10.7938,10.7938,10.7938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2065,,,,10.8202,10.8202,10.8202,10.8202,10.8202,10.8202,10.8202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2066,,,,10.8462,10.8462,10.8462,10.8462,10.8462,10.8462,10.8462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2067,,,,10.8717,10.8717,10.8717,10.8717,10.8717,10.8717,10.8717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2068,,,,10.8969,10.8969,10.8969,10.8969,10.8969,10.8969,10.8969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2069,,,,10.9216,10.9216,10.9216,10.9216,10.9216,10.9216,10.9216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Tierra_agropecuaria,,,,2070,,,,10.946,10.946,10.946,10.946,10.946,10.946,10.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2018,,,,2.37584,2.37584,2.37584,2.37584,2.37584,2.37584,2.37584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2019,,,,2.36906,2.36906,2.36906,2.36906,2.36906,2.36906,2.36906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2020,,,,2.36197,2.36197,2.36197,2.36197,2.36197,2.36197,2.36197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2021,,,,2.35488,2.35488,2.35488,2.35488,2.35488,2.35488,2.35488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2022,,,,2.34779,2.34779,2.34779,2.34779,2.34779,2.34779,2.34779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2023,,,,2.35005,2.35005,2.35005,2.35005,2.35005,2.35005,2.35005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2024,,,,2.34296,2.34296,2.34296,2.34296,2.34296,2.34296,2.34296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2025,,,,2.33587,2.33587,2.33587,2.33587,2.33587,2.33587,2.33587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2026,,,,2.32878,2.32878,2.32878,2.32878,2.32878,2.32878,2.32878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2027,,,,2.32168,2.32168,2.32168,2.32168,2.32168,2.32168,2.32168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2028,,,,2.31459,2.31459,2.31459,2.31459,2.31459,2.31459,2.31459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2029,,,,2.3075,2.3075,2.3075,2.3075,2.3075,2.3075,2.3075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2030,,,,2.30041,2.30041,2.30041,2.30041,2.30041,2.30041,2.30041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2031,,,,2.29332,2.29332,2.29332,2.29332,2.29332,2.29332,2.29332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2032,,,,2.28623,2.28623,2.28623,2.28623,2.28623,2.28623,2.28623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2033,,,,2.27914,2.27914,2.27914,2.27914,2.27914,2.27914,2.27914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2034,,,,2.27205,2.27205,2.27205,2.27205,2.27205,2.27205,2.27205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2035,,,,2.26496,2.26496,2.26496,2.26496,2.26496,2.26496,2.26496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2036,,,,2.25787,2.25787,2.25787,2.25787,2.25787,2.25787,2.25787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2037,,,,2.25077,2.25077,2.25077,2.25077,2.25077,2.25077,2.25077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2038,,,,2.24368,2.24368,2.24368,2.24368,2.24368,2.24368,2.24368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2039,,,,2.23659,2.23659,2.23659,2.23659,2.23659,2.23659,2.23659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,Pastizales,,,,2040,,,,2.2295,2.2295,2.2295,2.2295,2.2295,2.2295,2.2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
